Query,Mode,Run #,Run Count,Time,Branch
1,PARALLEL,1,5,0.083052,master
1,PARALLEL,2,5,0.079075,master
1,PARALLEL,3,5,0.079176,master
1,PARALLEL,4,5,0.078928,master
1,PARALLEL,5,5,0.079142,master
2,PARALLEL,1,5,0.052401,master
2,PARALLEL,2,5,0.048682,master
2,PARALLEL,3,5,0.049306,master
2,PARALLEL,4,5,0.04897,master
2,PARALLEL,5,5,0.048873,master
3,PARALLEL,1,5,0.056051,master
3,PARALLEL,2,5,0.053661,master
3,PARALLEL,3,5,0.053755,master
3,PARALLEL,4,5,0.055836,master
3,PARALLEL,5,5,0.056011,master
4,PARALLEL,1,5,0.068348,master
4,PARALLEL,2,5,0.068149,master
4,PARALLEL,3,5,0.067213,master
4,PARALLEL,4,5,0.069367,master
4,PARALLEL,5,5,0.067854,master
5,PARALLEL,1,5,0.067337,master
5,PARALLEL,2,5,0.072308,master
5,PARALLEL,3,5,0.068926,master
5,PARALLEL,4,5,0.064128,master
5,PARALLEL,5,5,0.072039,master
6,PARALLEL,1,5,0.010785,master
6,PARALLEL,2,5,0.010623,master
6,PARALLEL,3,5,0.010345,master
6,PARALLEL,4,5,0.010652,master
6,PARALLEL,5,5,0.010973,master
7,PARALLEL,1,5,0.108532,master
7,PARALLEL,2,5,0.112618,master
7,PARALLEL,3,5,0.113955,master
7,PARALLEL,4,5,0.114693,master
7,PARALLEL,5,5,0.111988,master
8,PARALLEL,1,5,0.062411,master
8,PARALLEL,2,5,0.062148,master
8,PARALLEL,3,5,0.064868,master
8,PARALLEL,4,5,0.067443,master
8,PARALLEL,5,5,0.063983,master
9,PARALLEL,1,5,0.644218,master
9,PARALLEL,2,5,0.635121,master
9,PARALLEL,3,5,0.643038,master
9,PARALLEL,4,5,0.641933,master
9,PARALLEL,5,5,0.634351,master
10,PARALLEL,1,5,0.11346,master
10,PARALLEL,2,5,0.110289,master
10,PARALLEL,3,5,0.110659,master
10,PARALLEL,4,5,0.111748,master
10,PARALLEL,5,5,0.114326,master
11,PARALLEL,1,5,0.009264,master
11,PARALLEL,2,5,0.009446,master
11,PARALLEL,3,5,0.009746,master
11,PARALLEL,4,5,0.009383,master
11,PARALLEL,5,5,0.009272,master
12,PARALLEL,1,5,0.137189,master
12,PARALLEL,2,5,0.134849,master
12,PARALLEL,3,5,0.136069,master
12,PARALLEL,4,5,0.138949,master
12,PARALLEL,5,5,0.132892,master
13,PARALLEL,1,5,0.077007,master
13,PARALLEL,2,5,0.080764,master
13,PARALLEL,3,5,0.07742,master
13,PARALLEL,4,5,0.075176,master
13,PARALLEL,5,5,0.080595,master
14,PARALLEL,1,5,0.022271,master
14,PARALLEL,2,5,0.026388,master
14,PARALLEL,3,5,0.025049,master
14,PARALLEL,4,5,0.020873,master
14,PARALLEL,5,5,0.024479,master
15,PARALLEL,1,5,0.045394,master
15,PARALLEL,2,5,0.044794,master
15,PARALLEL,3,5,0.04422,master
15,PARALLEL,4,5,0.044941,master
15,PARALLEL,5,5,0.04456,master
16,PARALLEL,1,5,0.055528,master
16,PARALLEL,2,5,0.054399,master
16,PARALLEL,3,5,0.055013,master
16,PARALLEL,4,5,0.05386,master
16,PARALLEL,5,5,0.054251,master
17,PARALLEL,1,5,0.116291,master
17,PARALLEL,2,5,0.119924,master
17,PARALLEL,3,5,0.116882,master
17,PARALLEL,4,5,0.116459,master
17,PARALLEL,5,5,0.115302,master
18,PARALLEL,1,5,0.216199,master
18,PARALLEL,2,5,0.202292,master
18,PARALLEL,3,5,0.19753,master
18,PARALLEL,4,5,0.208855,master
18,PARALLEL,5,5,0.213248,master
19,PARALLEL,1,5,0.104071,master
19,PARALLEL,2,5,0.099814,master
19,PARALLEL,3,5,0.102371,master
19,PARALLEL,4,5,0.101831,master
19,PARALLEL,5,5,0.103484,master
20,PARALLEL,1,5,0.076743,master
20,PARALLEL,2,5,0.075801,master
20,PARALLEL,3,5,0.075557,master
20,PARALLEL,4,5,0.075476,master
20,PARALLEL,5,5,0.075989,master
21,PARALLEL,1,5,0.33361,master
21,PARALLEL,2,5,0.326578,master
21,PARALLEL,3,5,0.322841,master
21,PARALLEL,4,5,0.323439,master
21,PARALLEL,5,5,0.318163,master
22,PARALLEL,1,5,0.031566,master
22,PARALLEL,2,5,0.031813,master
22,PARALLEL,3,5,0.039223,master
22,PARALLEL,4,5,0.03208,master
22,PARALLEL,5,5,0.031909,master
1,SERIAL,1,5,0.291391,master
1,SERIAL,2,5,0.292566,master
1,SERIAL,3,5,0.292764,master
1,SERIAL,4,5,0.290785,master
1,SERIAL,5,5,0.293838,master
2,SERIAL,1,5,0.0718,master
2,SERIAL,2,5,0.07621,master
2,SERIAL,3,5,0.071175,master
2,SERIAL,4,5,0.069637,master
2,SERIAL,5,5,0.077527,master
3,SERIAL,1,5,0.174273,master
3,SERIAL,2,5,0.166814,master
3,SERIAL,3,5,0.175212,master
3,SERIAL,4,5,0.166912,master
3,SERIAL,5,5,0.167894,master
4,SERIAL,1,5,0.108584,master
4,SERIAL,2,5,0.109868,master
4,SERIAL,3,5,0.111919,master
4,SERIAL,4,5,0.109585,master
4,SERIAL,5,5,0.108938,master
5,SERIAL,1,5,0.215428,master
5,SERIAL,2,5,0.212461,master
5,SERIAL,3,5,0.212689,master
5,SERIAL,4,5,0.212395,master
5,SERIAL,5,5,0.210759,master
6,SERIAL,1,5,0.034354,master
6,SERIAL,2,5,0.03469,master
6,SERIAL,3,5,0.035367,master
6,SERIAL,4,5,0.035408,master
6,SERIAL,5,5,0.035136,master
7,SERIAL,1,5,0.311397,master
7,SERIAL,2,5,0.305438,master
7,SERIAL,3,5,0.296858,master
7,SERIAL,4,5,0.306666,master
7,SERIAL,5,5,0.300613,master
8,SERIAL,1,5,0.218766,master
8,SERIAL,2,5,0.213417,master
8,SERIAL,3,5,0.208695,master
8,SERIAL,4,5,0.206884,master
8,SERIAL,5,5,0.211231,master
9,SERIAL,1,5,2.306982,master
9,SERIAL,2,5,2.328676,master
9,SERIAL,3,5,2.314425,master
9,SERIAL,4,5,2.305705,master
9,SERIAL,5,5,2.320938,master
10,SERIAL,1,5,0.329199,master
10,SERIAL,2,5,0.300397,master
10,SERIAL,3,5,0.303115,master
10,SERIAL,4,5,0.302448,master
10,SERIAL,5,5,0.309656,master
11,SERIAL,1,5,0.024299,master
11,SERIAL,2,5,0.022235,master
11,SERIAL,3,5,0.022096,master
11,SERIAL,4,5,0.022027,master
11,SERIAL,5,5,0.021695,master
12,SERIAL,1,5,0.230909,master
12,SERIAL,2,5,0.226206,master
12,SERIAL,3,5,0.227721,master
12,SERIAL,4,5,0.224035,master
12,SERIAL,5,5,0.227685,master
13,SERIAL,1,5,0.208734,master
13,SERIAL,2,5,0.206841,master
13,SERIAL,3,5,0.208097,master
13,SERIAL,4,5,0.221162,master
13,SERIAL,5,5,0.211403,master
14,SERIAL,1,5,0.067992,master
14,SERIAL,2,5,0.066486,master
14,SERIAL,3,5,0.062755,master
14,SERIAL,4,5,0.064529,master
14,SERIAL,5,5,0.067096,master
15,SERIAL,1,5,0.075388,master
15,SERIAL,2,5,0.074907,master
15,SERIAL,3,5,0.078104,master
15,SERIAL,4,5,0.075513,master
15,SERIAL,5,5,0.075872,master
16,SERIAL,1,5,0.065865,master
16,SERIAL,2,5,0.066185,master
16,SERIAL,3,5,0.076881,master
16,SERIAL,4,5,0.065593,master
16,SERIAL,5,5,0.072515,master
17,SERIAL,1,5,0.171702,master
17,SERIAL,2,5,0.169937,master
17,SERIAL,3,5,0.173613,master
17,SERIAL,4,5,0.172422,master
17,SERIAL,5,5,0.170456,master
18,SERIAL,1,5,0.534457,master
18,SERIAL,2,5,0.557663,master
18,SERIAL,3,5,0.620714,master
18,SERIAL,4,5,0.518675,master
18,SERIAL,5,5,0.562031,master
19,SERIAL,1,5,0.327161,master
19,SERIAL,2,5,0.331366,master
19,SERIAL,3,5,0.333299,master
19,SERIAL,4,5,0.330666,master
19,SERIAL,5,5,0.334149,master
20,SERIAL,1,5,0.141477,master
